date,signal_date,ticker,target_weight,actual_weight,shares,price
2019-06-03,2019-05-31,NOW,0.15,0.14980216011246475,301.0,49.67599868774414
2019-06-03,2019-05-31,HEI,0.1135250976192955,0.11321602758408397,93.0,121.5122299194336
2019-06-03,2019-05-31,SHOP,0.107492071623425,0.10752411345638484,405.0,26.5
2019-06-03,2019-05-31,MA,0.0891036035630919,0.0886720339329304,38.0,232.91534423828125
2019-06-03,2019-05-31,PAYC,0.0805795855360027,0.07901851894634489,41.0,192.37120056152344
2019-06-03,2019-05-31,MELI,0.0469479839264061,0.04558601787890489,8.0,568.77001953125
2019-06-03,2019-05-31,ROKU,0.0360621342552885,0.03595057300621856,40.0,89.70999908447266
2019-06-03,2019-05-31,FICO,0.0357536179838057,0.03457121878743031,12.0,287.55999755859375
2019-06-03,2019-05-31,HD,0.0346548213237872,0.03335681586943168,21.0,158.54783630371094
2019-06-03,2019-05-31,TSCO,0.0270711342456354,0.02697402276071305,149.0,18.069847106933594
2019-06-03,2019-05-31,V,0.0256951704076473,0.02570376973047637,17.0,150.9186553955078
2019-06-03,2019-05-31,AMT,0.003114779515614,0.0017200696903502991,1.0,171.68844604492188
2019-07-01,2019-06-28,NOW,0.148186156285204,0.1482630422304387,283.0,56.70199966430664
2019-07-01,2019-06-28,HEI,0.1237208375002295,0.12295737915916917,101.0,131.76046752929688
2019-07-01,2019-06-28,MA,0.0931513097456068,0.09242003399111072,39.0,256.4799499511719
2019-07-01,2019-06-28,PAYC,0.0859738384922911,0.08587132067526636,42.0,221.2843780517578
2019-07-01,2019-06-28,SHOP,0.0811613758497135,0.08135605704682951,289.0,30.468000411987305
2019-07-01,2019-06-28,MELI,0.0631303202606569,0.06294320786131344,11.0,619.3099975585938
2019-07-01,2019-06-28,HD,0.0579942074366604,0.057271748478639854,35.0,177.1023406982422
2019-07-01,2019-06-28,FICO,0.0528641513626332,0.05267729925155728,18.0,316.739990234375
2019-07-01,2019-06-28,TSCO,0.0183080199620569,0.01842506940276537,101.0,19.744205474853516
2019-07-01,2019-06-28,V,0.0160698080003227,0.016822086435894813,11.0,165.51565551757812
2019-07-01,2019-06-28,ROKU,0.0068840714627469,0.007597911734694111,9.0,91.37000274658203
2019-07-01,2019-06-28,AMT,0.0007420599270814,0.001539951059265131,1.0,166.6705322265625
2019-08-01,2019-07-31,NOW,0.1424029951580222,0.14224293351440556,288.0,54.79999923706055
2019-08-01,2019-07-31,V,0.0993723813487953,0.09834277681676992,64.0,170.49232482910156
2019-08-01,2019-07-31,PAYC,0.0927458529173452,0.09195877657410173,44.0,231.89044189453125
2019-08-01,2019-07-31,HEI,0.0858901384611177,0.08642050810747567,70.0,136.9812469482422
2019-08-01,2019-07-31,HD,0.0737055806612563,0.07269916323090618,45.0,179.25003051757812
2019-08-01,2019-07-31,SHOP,0.0690256789693695,0.06922946461811946,225.0,34.138999938964844
2019-08-01,2019-07-31,ROKU,0.0641679175457103,0.06362240408634275,70.0,100.84500122070312
2019-08-01,2019-07-31,MA,0.0599494425917008,0.0618412948478731,26.0,263.90496826171875
2019-08-01,2019-07-31,MELI,0.0206602854232093,0.02258416683826253,4.0,626.4500122070312
2019-08-01,2019-07-31,FICO,0.0198286285091712,0.022700160426275255,7.0,359.80999755859375
2019-08-01,2019-07-31,TSCO,0.0134603180985605,0.013547536747909858,78.0,19.271169662475586
2019-08-01,2019-07-31,AMT,0.0011937754737634,0.00156980618564795,1.0,174.176025390625
2019-09-03,2019-08-30,LRCX,0.1,0.10004460769587514,591.0,19.614543914794922
2019-09-03,2019-08-30,V,0.0973692602387194,0.09726930055633931,66.0,170.7669677734375
2019-09-03,2019-08-30,SHOP,0.0901860370005593,0.09012106307928192,272.0,38.39099884033203
2019-09-03,2019-08-30,MA,0.0796283519142258,0.0791186490099967,34.0,269.63232421875
2019-09-03,2019-08-30,HEI,0.0660699425064728,0.06690523125762221,55.0,140.95140075683594
2019-09-03,2019-08-30,TREX,0.0550234599411608,0.054957150816266925,154.0,41.349998474121094
