date,equity_usd,cash_usd,cash_weight,stock_value_usd,position_count,fill_mode
2019-06-03,99752.2603510666,656.4007777023398,0.00658030981345398,99095.85957336426,5,next_close
2019-06-04,102475.24864376069,656.4007777023398,0.006405456794588666,101818.84786605835,5,next_close
2019-06-05,107165.6947726059,656.4007777023398,0.006125101685713435,106509.29399490356,5,next_close
2019-06-06,107963.39429653168,656.4007777023398,0.006079845691952524,107306.99351882935,5,next_close
2019-06-07,110244.53872859955,656.4007777023398,0.005954043486165513,109588.13795089722,5,next_close
2019-06-10,110561.06283367157,656.4007777023398,0.005936997717630766,109904.66205596924,5,next_close
2019-06-11,109502.86727321625,656.4007777023398,0.005994370686792889,108846.46649551392,5,next_close
2019-06-12,110751.5475977707,656.4007777023398,0.005926786504927832,110095.14682006836,5,next_close
2019-06-13,111144.77229488373,656.4007777023398,0.0059058178279479505,110488.3715171814,5,next_close
2019-06-14,109456.46686733246,656.4007777023398,0.005996911799628388,108800.06608963013,5,next_close
2019-06-17,110298.14854991913,656.4007777023398,0.005951149555382279,109641.7477722168,5,next_close
2019-06-18,110709.37112606049,656.4007777023398,0.005929044407224765,110052.97034835815,5,next_close
2019-06-19,115261.8415430832,656.4007777023398,0.005694866305402442,114605.44076538086,5,next_close
2019-06-20,115101.44112194062,656.4007777023398,0.005702802426313121,114445.04034423828,5,next_close
2019-06-21,114212.31923473359,656.4007777023398,0.005747197693738094,113555.91845703125,5,next_close
2019-06-24,111887.08601558686,656.4007777023398,0.005866635740347169,111230.68523788452,5,next_close
2019-06-25,106850.41888988495,656.4007777023398,0.006143174584825875,106194.01811218262,5,next_close
2019-06-26,107315.02754772187,656.4007777023398,0.0061165783833065255,106658.62677001953,5,next_close
2019-06-27,109864.05235088349,656.4007777023398,0.005974663810924514,109207.65157318115,5,next_close
2019-06-28,110171.44383800507,656.4007777023398,0.0059579937852816435,109515.04306030273,5,next_close
2019-07-01,110744.13020047665,598.692164511689,0.005406084850076436,110145.43803596497,5,next_close
2019-07-02,113274.69837483883,598.692164511689,0.005285312369851109,112676.00621032715,5,next_close
2019-07-03,113892.22832021237,598.692164511689,0.005256655114591692,113293.53615570068,5,next_close
2019-07-05,114731.3897448492,598.692164511689,0.005218207204175935,114132.69758033752,5,next_close
2019-07-08,115461.0693694067,598.692164511689,0.005185229686347616,114862.37720489502,5,next_close
2019-07-09,116468.33330449581,598.692164511689,0.005140385781485025,115869.64113998413,5,next_close
2019-07-10,116234.06643399716,598.692164511689,0.005150746101201345,115635.37426948547,5,next_close
2019-07-11,115905.63022908688,598.692164511689,0.005165341522481497,115306.9380645752,5,next_close
2019-07-12,115452.58168897152,598.692164511689,0.005185610886767017,114853.88952445984,5,next_close
2019-07-15,116761.43359670162,598.692164511689,0.005127482132324567,116162.74143218994,5,next_close
2019-07-16,116727.0765620184,598.692164511689,0.005128991337272096,116128.38439750671,5,next_close
2019-07-17,117365.02867803097,598.692164511689,0.005101112071076037,116766.33651351929,5,next_close
2019-07-18,118517.37145909786,598.692164511689,0.005051514028205618,117918.67929458618,5,next_close
2019-07-19,116551.8535414648,598.692164511689,0.005136702217255573,115953.16137695312,5,next_close
2019-07-22,117535.29650792599,598.692164511689,0.00509372233107283,116936.6043434143,5,next_close
2019-07-23,116763.85499486446,598.692164511689,0.005127375800824843,116165.16283035278,5,next_close
2019-07-24,118141.0350447607,598.692164511689,0.0050676055469199115,117542.34288024902,5,next_close
2019-07-25,118460.55465230465,598.692164511689,0.005053936867583639,117861.86248779297,5,next_close
2019-07-26,118838.89815053463,598.692164511689,0.005037846814713131,118240.20598602295,5,next_close
2019-07-29,115977.81015309811,598.692164511689,0.00516212682168578,115379.11798858643,5,next_close
2019-07-30,115166.09079274655,598.692164511689,0.005198510780305102,114567.39862823486,5,next_close
