rebalance_date,ticker,Name,sector,weight,raw_score,concentrated_score,portfolio_sleeve_label,concentrated_selection_source,period_forward_return,raw_period_forward_return,risk_adjusted_forward_return,weighted_forward_return,raw_weighted_forward_return,position_risk_action,position_risk_reason,position_risk_hard_stop,position_risk_enabled,target_n,weighting_mode,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,target_stock_names,portfolio_mode
2023-04-28,AVGO,BROADCOM INC,Information Technology,0.5,5.5540448316822895,0.706131662666986,early_scout,preferred_final_label,0.2779247721341591,0.2779247721341591,0.2779247721341591,0.13896238606707956,0.13896238606707956,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-05-31,0.55929646985697,0.0,neutral,1,concentrated_alpha
2023-05-31,AVGO,BROADCOM INC,Information Technology,0.5,7.588810565414829,0.62442963809192,future_winner,monster_extreme_early,0.09071441820521131,0.09071441820521131,0.09071441820521131,0.045357209102605656,0.045357209102605656,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-06-30,0.6408431038280796,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2023-06-30,NOW,SERVICENOW INC,Information Technology,0.5,4.75234620217524,0.7519191709374666,early_scout,preferred_final_label,0.031006548206660378,0.031006548206660378,0.031006548206660378,0.015503274103330189,0.015503274103330189,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-07-31,0.5605565607986853,0.10833333333333334,neutral,1,concentrated_alpha
2023-07-31,MA,MASTERCARD INC CLASS A,Financials,0.5,5.073915175236088,0.739490685305461,early_scout,preferred_final_label,0.05094227667830409,0.05094227667830409,0.05094227667830409,0.025471138339152044,0.025471138339152044,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-08-31,0.4895738930212466,0.146875,neutral,1,concentrated_alpha
2023-08-31,MA,MASTERCARD INC CLASS A,Financials,0.5,5.097625995907977,0.7658784440800672,early_scout,preferred_final_label,-0.04890781058501659,-0.04890781058501659,-0.04890781058501659,-0.024453905292508293,-0.024453905292508293,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-09-29,0.5265264252223198,0.13333333333333333,neutral,1,concentrated_alpha
2023-09-29,MA,MASTERCARD INC CLASS A,Financials,0.5,5.7173721923158425,0.7259374214680621,early_scout,preferred_final_label,-0.03653732448506131,-0.03653732448506131,-0.03653732448506131,-0.018268662242530653,-0.018268662242530653,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-10-31,0.4229035774206457,0.146875,neutral,1,concentrated_alpha
2023-10-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.5,4.452055729853148,0.6727261340398012,early_scout,preferred_final_label,0.05303125771356498,0.05303125771356498,0.05303125771356498,0.02651562885678249,0.02651562885678249,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-11-30,0.46296542907694604,0.013541666666666667,neutral,1,concentrated_alpha
2023-11-30,LRCX,LAM RESEARCH CORP,Information Technology,0.5,4.701490910355646,0.6955702127424916,early_scout,preferred_final_label,0.08252716490077328,0.08252716490077328,0.08252716490077328,0.04126358245038664,0.04126358245038664,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2023-12-29,0.530846323992717,0.13333333333333333,neutral,1,concentrated_alpha
2023-12-29,MA,MASTERCARD INC CLASS A,Financials,0.5,4.951968761024071,0.7310810200426113,early_scout,preferred_final_label,0.07457636029737746,0.07457636029737746,0.07457636029737746,0.03728818014868873,0.03728818014868873,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-01-31,0.5388008082973833,0.146875,neutral,1,concentrated_alpha
2024-01-31,MA,MASTERCARD INC CLASS A,Financials,0.5,5.94083170176046,0.770172525161662,early_scout,preferred_final_label,0.043758184316817106,0.043758184316817106,0.043758184316817106,0.021879092158408553,0.021879092158408553,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-02-29,0.5842244236423716,0.13333333333333333,promote_monster_early,1,concentrated_alpha
2024-02-29,MA,MASTERCARD INC CLASS A,Financials,0.5,7.071909109561999,0.745292155308952,early_scout,preferred_final_label,0.012107630778350087,0.012107630778350087,0.012107630778350087,0.0060538153891750435,0.0060538153891750435,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-03-28,0.588645455738404,0.13333333333333333,promote_monster_early,1,concentrated_alpha
2024-03-28,MA,MASTERCARD INC CLASS A,Financials,0.5,6.672213225882399,0.8014128298762504,early_scout,preferred_final_label,-0.0712407057121015,-0.0712407057121015,-0.0712407057121015,-0.03562035285605075,-0.03562035285605075,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-04-30,0.5919449200348484,0.0,promote_monster_early,1,concentrated_alpha
2024-04-30,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,0.5,8.251570642948522,0.7891382527440919,early_scout,preferred_final_label,-0.0044783068890612565,-0.0044783068890612565,-0.0044783068890612565,-0.0022391534445306283,-0.0022391534445306283,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-05-31,0.5610577512228255,0.10833333333333334,neutral,1,concentrated_alpha
2024-05-31,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,0.5,6.335650134789612,0.7369519953854036,early_scout,preferred_final_label,-0.001395413474490237,-0.001395413474490237,-0.001395413474490237,-0.0006977067372451184,-0.0006977067372451184,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-06-28,0.5095027224095834,0.10833333333333334,neutral,1,concentrated_alpha
2024-06-28,ANET,ARISTA NETWORKS INC,Information Technology,0.5,6.550574956575538,0.5971254756403401,future_winner,monster_extreme_early,-0.011868826806394894,-0.011868826806394894,-0.011868826806394894,-0.005934413403197447,-0.005934413403197447,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-07-31,0.6450933872840579,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2024-07-31,ETR,ENTERGY CORP,Utilities,0.5,2.467743110920905,0.6726403244669248,early_scout,preferred_final_label,0.03428537781996854,0.03428537781996854,0.03428537781996854,0.01714268890998427,0.01714268890998427,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-08-30,0.5894854337777027,0.0,promote_monster_early,1,concentrated_alpha
2024-08-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.5,5.960628773992637,0.7568626244063125,early_scout,preferred_final_label,0.09334197425313695,0.09334197425313695,0.09334197425313695,0.046670987126568475,0.046670987126568475,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-09-30,0.4982327534235651,0.146875,neutral,1,concentrated_alpha
2024-09-30,DUOL,DUOLINGO INC CLASS A,Consumer Discretionary,0.5,3.719780135953827,0.6839443872241762,early_scout,preferred_final_label,0.03530167531254125,0.03530167531254125,0.03530167531254125,0.017650837656270624,0.017650837656270624,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-10-31,0.4966969403738064,0.325,neutral,1,concentrated_alpha
2024-10-31,DUOL,DUOLINGO INC CLASS A,Consumer Discretionary,0.5,3.473787379408077,0.6783861424778602,early_scout,preferred_final_label,0.18571234084856525,0.18571234084856525,0.18571234084856525,0.09285617042428262,0.09285617042428262,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-11-29,0.49991245234248866,0.325,neutral,1,concentrated_alpha
2024-11-29,DUOL,DUOLINGO INC CLASS A,Consumer Discretionary,0.5,3.482509648337179,0.7152373747900522,early_scout,preferred_final_label,-0.057831330804945735,-0.057831330804945735,-0.057831330804945735,-0.028915665402472868,-0.028915665402472868,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2024-12-31,0.5438078242518039,0.325,neutral,1,concentrated_alpha
2024-12-31,DKS,DICKS SPORTING INC,Consumer Discretionary,0.5,5.144945547826098,0.7316325410285365,early_scout,preferred_final_label,0.012862626094008567,0.012862626094008567,0.012862626094008567,0.006431313047004283,0.006431313047004283,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-01-31,0.51359897194982,0.13401041666666666,neutral,1,concentrated_alpha
2025-01-31,DKS,DICKS SPORTING INC,Consumer Discretionary,0.5,3.884827788530195,0.6865848333503464,early_scout,preferred_final_label,-0.030059329245427868,-0.030059329245427868,-0.030059329245427868,-0.015029664622713934,-0.015029664622713934,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-02-28,0.5573800995712488,0.13333333333333333,neutral,1,concentrated_alpha
2025-02-28,MA,MASTERCARD INC CLASS A,Financials,0.5,4.238076568451737,0.7403183811988809,early_scout,preferred_final_label,-0.05288121974191573,-0.05288121974191573,-0.05288121974191573,-0.026440609870957865,-0.026440609870957865,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-03-31,0.5752695857343508,0.0,neutral,1,concentrated_alpha
2025-03-31,MA,MASTERCARD INC CLASS A,Financials,0.5,5.2845069122130575,0.7463700914051903,early_scout,preferred_final_label,0.007447446207318853,0.007447446207318853,0.007447446207318853,0.0037237231036594265,0.0037237231036594265,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-04-30,0.44332156707037246,0.013541666666666667,neutral,1,concentrated_alpha
2025-04-30,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.5,5.254157009421012,0.7628602122959969,early_scout,preferred_final_label,-0.03405688503867821,-0.03405688503867821,-0.03405688503867821,-0.017028442519339104,-0.017028442519339104,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-05-30,0.5150927949018426,0.0,neutral,1,concentrated_alpha
2025-05-30,DASH,DOORDASH INC CLASS A,Consumer Discretionary,0.5,3.426740984604982,0.6714329194174204,early_scout,monster_extreme_early,0.18353882837414193,0.18353882837414193,0.18353882837414193,0.09176941418707096,0.09176941418707096,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-06-30,0.6342766208068767,0.13333333333333333,promote_monster_early,1,concentrated_alpha
2025-06-30,AXON,AXON ENTERPRISE INC,Industrials,0.5,2.8708588440027842,0.5139133004992715,future_winner,monster_extreme_early,-0.08,-0.10465072968895561,-0.08,-0.04,-0.052325364844477806,risk_exit,hard_stop,-0.08,True,1,conviction_curve,rebalance,1,2025-07-31,0.6279733168553825,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2025-07-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.5,5.103549828213646,0.7689005395560731,early_scout,preferred_final_label,0.046922316826202515,0.046922316826202515,0.046922316826202515,0.023461158413101257,0.023461158413101257,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-08-29,0.5438885294133394,0.146875,neutral,1,concentrated_alpha
2025-08-29,MA,MASTERCARD INC CLASS A,Financials,0.5,5.475220578822594,0.7514866693818899,early_scout,preferred_final_label,-0.05026700147030794,-0.05026700147030794,-0.05026700147030794,-0.02513350073515397,-0.02513350073515397,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-09-30,0.529354672885453,0.146875,neutral,1,concentrated_alpha
2025-09-30,WDC,WESTERN DIGITAL CORP,Information Technology,0.5,3.664929952816296,0.5122565381141099,future_winner,monster_extreme_early,0.2867660794869311,0.2867660794869311,0.2867660794869311,0.14338303974346556,0.14338303974346556,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-10-31,0.6354137191269155,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2025-10-31,MU,MICRON TECHNOLOGY INC,Information Technology,0.5,4.792408195179322,0.6116068167071063,future_winner,monster_extreme_early,-0.006798350919157037,-0.006798350919157037,-0.006798350919157037,-0.0033991754595785184,-0.0033991754595785184,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-11-28,0.647240241854203,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2025-11-28,PLNT,PLANET FITNESS INC CLASS A,Consumer Discretionary,0.5,2.0523262172138206,0.574770317271762,early_scout,preferred_final_label,-0.014046439698242486,-0.014046439698242486,-0.014046439698242486,-0.007023219849121243,-0.007023219849121243,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2025-12-31,0.4882096023887952,0.0,neutral,1,concentrated_alpha
2025-12-31,EXPE,EXPEDIA GROUP INC,Consumer Discretionary,0.5,5.1455902330764465,0.6181096307611997,future_winner,preferred_final_label,-0.04787634051917833,-0.04787634051917833,-0.04787634051917833,-0.023938170259589164,-0.023938170259589164,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2026-01-30,0.5625142536882982,0.10833333333333334,neutral,1,concentrated_alpha
2026-01-30,SYY,SYSCO CORP,Consumer Staples,0.5,3.031964869479827,0.6660986314050691,early_scout,preferred_final_label,0.0802425208146933,0.0802425208146933,0.0802425208146933,0.04012126040734665,0.04012126040734665,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2026-02-27,0.49566813841093993,0.0,neutral,1,concentrated_alpha
2026-02-27,ETR,ENTERGY CORP,Utilities,0.5,3.7661287065587103,0.6904656685481918,early_scout,preferred_final_label,0.04740041165361952,0.04740041165361952,0.04740041165361952,0.02370020582680976,0.02370020582680976,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2026-03-31,0.5717907873602258,0.13333333333333333,neutral,1,concentrated_alpha
2026-03-31,PR,PERMIAN RESOURCES CORP CLASS A,Energy,0.5,3.3544325901794845,0.7160496025539606,early_scout,preferred_final_label,0.023900537606999617,0.023900537606999617,0.023900537606999617,0.011950268803499808,0.011950268803499808,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2026-04-30,0.582684053636872,0.325,promote_monster_early,1,concentrated_alpha
2019-06-28,MA,MASTERCARD INC CLASS A,Financials,0.5,5.413426563002343,0.787975719079128,early_scout,preferred_final_label,0.015824992567917473,0.015824992567917473,0.015824992567917473,0.007912496283958736,0.007912496283958736,hold,hold,-0.08,True,1,winner_take_all,initial_rebalance,1,2019-07-31,0.5774174829511238,0.13333333333333333,neutral,1,concentrated_alpha
2019-07-31,V,VISA INC CLASS A,Financials,0.5,5.844620841555385,0.7710160544309215,early_scout,preferred_final_label,0.008876128936122551,0.008876128936122551,0.008876128936122551,0.004438064468061276,0.004438064468061276,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2019-08-30,0.5665814562619392,0.13333333333333333,neutral,1,concentrated_alpha
2019-08-30,V,VISA INC CLASS A,Financials,0.5,5.9800816067356175,0.7531831497010606,early_scout,preferred_final_label,-0.04154662801428166,-0.04154662801428166,-0.04154662801428166,-0.02077331400714083,-0.02077331400714083,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2019-09-30,0.5565591799184539,0.13333333333333333,neutral,1,concentrated_alpha
2019-09-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.5,4.678446553296408,0.7370221985408835,early_scout,preferred_final_label,0.0235813527566322,0.0235813527566322,0.0235813527566322,0.0117906763783161,0.0117906763783161,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2019-10-31,0.45913537645985847,0.0,neutral,1,concentrated_alpha
2019-10-31,V,VISA INC CLASS A,Financials,0.5,5.477004100398727,0.7811133779407445,early_scout,preferred_final_label,0.024530328997492745,0.024530328997492745,0.024530328997492745,0.012265164498746373,0.012265164498746373,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2019-11-29,0.4942493651218414,0.146875,neutral,1,concentrated_alpha
2019-11-29,MA,MASTERCARD INC CLASS A,Financials,0.5,6.374936047470526,0.7881661680748705,early_scout,preferred_final_label,0.03396548213206363,0.03396548213206363,0.03396548213206363,0.016982741066031815,0.016982741066031815,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2019-12-31,0.5433215573749064,0.146875,neutral,1,concentrated_alpha
2019-12-31,LRCX,LAM RESEARCH CORP,Information Technology,0.5,3.818400823335165,0.720971864245395,early_scout,monster_extreme_early,0.014267386142772676,0.014267386142772676,0.014267386142772676,0.007133693071386338,0.007133693071386338,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-01-31,0.6546067245152497,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2020-01-31,MA,MASTERCARD INC CLASS A,Financials,0.5,6.835467863813497,0.811691002259326,early_scout,preferred_final_label,-0.0624525934386192,-0.0624525934386192,-0.0624525934386192,-0.0312262967193096,-0.0312262967193096,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-02-28,0.5317525067907578,0.13333333333333333,neutral,1,concentrated_alpha
2020-02-28,MA,MASTERCARD INC CLASS A,Financials,0.5,6.868798528117177,0.7865971967495097,early_scout,preferred_final_label,-0.08,-0.22734134323103405,-0.08,-0.04,-0.11367067161551703,risk_exit,hard_stop,-0.08,True,1,winner_take_all,rebalance,1,2020-03-31,0.4158877515159699,0.146875,neutral,1,concentrated_alpha
2020-03-31,MA,MASTERCARD INC CLASS A,Financials,0.5,6.17227017734211,0.7568372282225575,early_scout,preferred_final_label,0.1653050151063431,0.1653050151063431,0.1653050151063431,0.08265250755317155,0.08265250755317155,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-04-30,0.3073987570825933,0.29270833333333335,neutral,1,concentrated_alpha
2020-04-30,AMZN,AMAZON.COM INC,Consumer Discretionary,0.5,5.749731624246046,0.5849923081213537,future_winner,monster_extreme_early,0.04758648889297512,0.04758648889297512,0.04758648889297512,0.02379324444648756,0.02379324444648756,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-05-29,0.6478747238715991,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2020-05-29,SE,Sea Limited,Internet,0.5,4.2114669317152265,0.5632414154501162,future_winner,monster_extreme_early,0.35214780598701667,0.35214780598701667,0.35214780598701667,0.17607390299350834,0.17607390299350834,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-06-30,0.6205445543371354,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2020-06-30,NOW,SERVICENOW INC,Information Technology,0.5,6.37492577338671,0.659275592795721,future_winner,monster_extreme_early,0.09457801615219186,0.09457801615219186,0.09457801615219186,0.04728900807609593,0.04728900807609593,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-07-31,0.6437691229357995,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2020-07-31,MELI,MercadoLibre,Internet,0.5,3.348123380828027,0.4996728112993332,future_winner,monster_extreme_early,0.06667615749185263,0.06667615749185263,0.06667615749185263,0.033338078745926314,0.033338078745926314,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-08-31,0.6221945291450318,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2020-08-31,META,META PLATFORMS INC CLASS A,Communication,0.5,5.369613254769316,0.6384632088842935,future_winner,monster_extreme_early,-0.08,-0.09962341844148648,-0.08,-0.04,-0.04981170922074324,risk_exit,hard_stop,-0.08,True,1,winner_take_all,rebalance,1,2020-09-30,0.6410282553765074,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2020-09-30,BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,0.5,3.211566018538275,0.7063402127628479,early_scout,preferred_final_label,0.14601590400837772,0.14601590400837772,0.14601590400837772,0.07300795200418886,0.07300795200418886,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-10-30,0.5384437635764198,0.13333333333333333,neutral,1,concentrated_alpha
2020-10-30,CPRT,COPART INC,Industrials,0.5,2.930396700030485,0.712018784113785,early_scout,preferred_final_label,0.03663984287947386,0.03663984287947386,0.03663984287947386,0.01831992143973693,0.01831992143973693,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-11-30,0.511802335782204,0.0,neutral,1,concentrated_alpha
2020-11-30,LRCX,LAM RESEARCH CORP,Information Technology,0.5,3.9840831871267546,0.737672012045684,early_scout,preferred_final_label,0.04198398270464998,0.04198398270464998,0.04198398270464998,0.02099199135232499,0.02099199135232499,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2020-12-31,0.5991238794072863,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2020-12-31,LRCX,LAM RESEARCH CORP,Information Technology,0.5,5.685547525126806,0.7552567850443781,early_scout,preferred_final_label,0.02697853870926381,0.02697853870926381,0.02697853870926381,0.013489269354631905,0.013489269354631905,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-01-29,0.5158162557315839,0.2416666666666667,neutral,1,concentrated_alpha
2021-01-29,AMAT,APPLIED MATERIAL INC,Information Technology,0.5,6.957772439753926,0.6625408277372582,future_winner,preferred_final_label,0.22327445742633767,0.22327445742633767,0.22327445742633767,0.11163722871316883,0.11163722871316883,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-02-26,0.5270305619163564,0.10833333333333334,neutral,1,concentrated_alpha
2021-02-26,LRCX,LAM RESEARCH CORP,Information Technology,0.5,5.148995980945404,0.7081941661564759,early_scout,preferred_final_label,0.06270652006157484,0.06270652006157484,0.06270652006157484,0.03135326003078742,0.03135326003078742,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-03-31,0.5717719984229538,0.2416666666666667,neutral,1,concentrated_alpha
2021-03-31,LRCX,LAM RESEARCH CORP,Information Technology,0.5,5.334008036335892,0.7649361540338993,early_scout,preferred_final_label,0.02951391181305274,0.02951391181305274,0.02951391181305274,0.01475695590652637,0.01475695590652637,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-04-30,0.5604147101598367,0.2416666666666667,neutral,1,concentrated_alpha
2021-04-30,NVDA,NVIDIA CORP,Information Technology,0.5,6.59139430673482,0.7778711187223625,early_scout,preferred_final_label,0.07570266576783102,0.07570266576783102,0.07570266576783102,0.03785133288391551,0.03785133288391551,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-05-28,0.5153889514402569,0.13333333333333333,neutral,1,concentrated_alpha
2021-05-28,FTNT,FORTINET INC,Information Technology,0.5,3.6496793256846276,0.663623048563126,early_scout,preferred_final_label,0.08059241495284453,0.08059241495284453,0.08059241495284453,0.04029620747642226,0.04029620747642226,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-06-30,0.527653641479893,0.10833333333333334,neutral,1,concentrated_alpha
2021-06-30,NET,CLOUDFLARE INC CLASS A,Information Technology,0.5,4.837411705630253,0.6319161397906914,early_scout,preferred_final_label,0.12518864757609816,0.12518864757609816,0.12518864757609816,0.06259432378804908,0.06259432378804908,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-07-30,0.496131527288552,0.2416666666666667,neutral,1,concentrated_alpha
2021-07-30,MA,MASTERCARD INC CLASS A,Financials,0.5,5.125276384480481,0.7500740254477761,early_scout,preferred_final_label,-0.08,-0.10768025088058653,-0.08,-0.04,-0.05384012544029326,risk_exit,hard_stop,-0.08,True,1,winner_take_all,rebalance,1,2021-08-31,0.5266325392101283,0.013541666666666667,neutral,1,concentrated_alpha
2021-08-31,DXCM,DEXCOM INC,Health Care,0.5,3.2726390106576937,0.6500409741940294,early_scout,preferred_final_label,0.03699942051602756,0.03699942051602756,0.03699942051602756,0.01849971025801378,0.01849971025801378,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-09-30,0.5827218876838115,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2021-09-30,PANW,PALO ALTO NETWORKS INC,Information Technology,0.5,4.897794593231994,0.7256591579921505,early_scout,preferred_final_label,0.06238943625517246,0.06238943625517246,0.06238943625517246,0.03119471812758623,0.03119471812758623,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-10-29,0.5320070646934207,0.10833333333333334,neutral,1,concentrated_alpha
2021-10-29,MDB,MONGODB INC CLASS A,Information Technology,0.5,4.389197103460776,0.6622624299119834,early_scout,preferred_final_label,-0.038295734800200765,-0.038295734800200765,-0.038295734800200765,-0.019147867400100382,-0.019147867400100382,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-11-30,0.5555541631477867,0.325,neutral,1,concentrated_alpha
2021-11-30,LRCX,LAM RESEARCH CORP,Information Technology,0.5,6.082328334414226,0.6283060413626889,future_winner,preferred_final_label,0.043327338227942436,0.043327338227942436,0.043327338227942436,0.021663669113971218,0.021663669113971218,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2021-12-31,0.5688542989304046,0.0,neutral,1,concentrated_alpha
2021-12-31,V,VISA INC CLASS A,Financials,0.5,5.403571582271904,0.6478380970987865,early_scout,preferred_final_label,0.043122509103399764,0.043122509103399764,0.043122509103399764,0.021561254551699882,0.021561254551699882,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2022-01-31,0.3084548002843225,0.20104166666666667,neutral,1,concentrated_alpha
2022-01-31,KLAC,KLA CORP,Information Technology,0.5,5.058643919228212,0.7040283881020941,early_scout,preferred_final_label,-0.08,-0.10852093421093345,-0.08,-0.04,-0.054260467105466725,risk_exit,hard_stop,-0.08,True,1,winner_take_all,rebalance,1,2022-02-28,0.3566050598689871,0.013541666666666667,neutral,1,concentrated_alpha
2022-02-28,WMB,WILLIAMS INC,Energy,0.5,2.03325317842398,0.464976829386993,future_winner,monster_extreme_early,0.07730281228536384,0.07730281228536384,0.07730281228536384,0.03865140614268192,0.03865140614268192,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2022-03-31,0.645424689714434,0.13333333333333333,promote_monster_early,1,concentrated_alpha
2022-03-31,FCX,FREEPORT MCMORAN INC,Materials,0.5,4.400724998972596,0.5353700241810497,future_winner,monster_extreme_early,-0.08,-0.196768139144764,-0.08,-0.04,-0.098384069572382,risk_exit,hard_stop,-0.08,True,1,winner_take_all,rebalance,1,2022-04-29,0.6263323258623215,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2022-04-29,BLDR,BUILDERS FIRSTSOURCE INC,Industrials,0.5,3.30776607269205,0.6395664967048056,early_scout,preferred_final_label,0.06575965764359593,0.06575965764359593,0.06575965764359593,0.03287982882179796,0.03287982882179796,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2022-05-31,0.29003482158006366,0.29270833333333335,neutral,1,concentrated_alpha
2022-05-31,VLO,VALERO ENERGY CORP,Energy,0.5,5.488777846068277,0.5728604378474678,future_winner,monster_extreme_early,-0.08,-0.17294568501027097,-0.08,-0.04,-0.08647284250513548,risk_exit,hard_stop,-0.08,True,1,winner_take_all,rebalance,1,2022-06-30,0.6406709570600799,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2022-06-30,AEE,AMEREN CORP,Utilities,0.5,3.499987298648919,0.6541560577736121,early_scout,preferred_final_label,0.02623466265895047,0.02623466265895047,0.02623466265895047,0.013117331329475235,0.013117331329475235,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2022-07-29,0.45385623345097226,0.16041666666666668,neutral,1,concentrated_alpha
2022-07-29,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.5,3.8500292138807124,0.6859943463388194,early_scout,preferred_final_label,-0.0027948899362666424,-0.0027948899362666424,-0.0027948899362666424,-0.0013974449681333212,-0.0013974449681333212,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2022-08-31,0.47556988231063013,0.0,neutral,1,concentrated_alpha
2022-08-31,DKS,DICKS SPORTING INC,Consumer Discretionary,0.5,3.8081653232597072,0.6885925156747768,early_scout,preferred_final_label,0.010692009092045929,0.010692009092045929,0.010692009092045929,0.005346004546022964,0.005346004546022964,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2022-09-30,0.37660075461002795,0.24375000000000002,neutral,1,concentrated_alpha
2022-09-30,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.5,4.099826237675055,0.7198614772772469,early_scout,preferred_final_label,0.1834335085733778,0.1834335085733778,0.1834335085733778,0.0917167542866889,0.0917167542866889,hold,hold,-0.08,True,1,winner_take_all,rebalance,1,2022-10-31,0.445307582524277,0.013541666666666667,neutral,1,concentrated_alpha
