rebalance_date,ticker,action,reason,stage,score,bad_months,distribution_risk,theme_event_risk,theme_structural_growth
2019-04-30,ALGN,enter,monster_scout,scout,1.3751333330986437,0,0.528813789912138,0.35,0.35
2019-04-30,CDNS,enter,monster_scout,scout,1.35717406097042,0,0.4060296400493176,0.35,0.35
2019-04-30,ADBE,enter,monster_scout,scout,1.3004119231883924,0,0.151809073128744,0.15,1.0
2019-05-31,ALGN,trim,distribution_trim,scout,0.4812063273111175,0,0.8690840063371765,0.35,0.35
2019-05-31,CDNS,hold,watch_stale,scout,0.31708494581862806,1,0.5259785323702689,0.35,0.35
2019-05-31,ADBE,hold,hold,scout,0.5747765377067338,0,0.5259785323702689,0.15,1.0
2019-05-31,SBAC,enter,monster_scout,scout,0.9839612299959652,0,0.5259785323702689,0.35,0.35
2019-05-31,BR,enter,monster_scout,scout,0.9623008232066207,0,0.5259785323702689,0.35,0.35
2019-05-31,MKTX,enter,monster_scout,scout,0.8956897831715203,0,0.5259785323702689,0.35,0.35
2019-06-28,ALGN,trim,distribution_trim,scout,0.12013852512061624,1,0.8208898861525155,0.35,0.35
2019-06-28,CDNS,hold,hold,confirm,0.8212764560629972,0,0.1765358091413379,0.35,0.35
2019-06-28,ADBE,hold,hold,confirm,1.1260875269689758,0,0.0516149525445256,0.15,1.0
2019-06-28,SBAC,hold,hold,scout,0.6789001598288307,0,0.0516149525445256,0.35,0.35
2019-06-28,BR,hold,hold,confirm,0.8658393178074898,0,0.1619170167324571,0.35,0.35
2019-06-28,MKTX,hold,hold,confirm,0.9059938420540522,0,0.2887997534576037,0.35,0.35
2019-06-28,HEI,enter,monster_scout,scout,1.086889868334998,0,0.5116167622696647,0.35,0.35
2019-06-28,NOC,enter,monster_scout,scout,1.0103633714039508,0,0.0516149525445256,0.78,0.1
2019-06-28,MSCI,enter,monster_scout,scout,1.005530113778558,0,0.1448738810074265,0.35,0.35
2019-07-31,ALGN,exit,failed_recovery_after_peak,scout,,,,,
2019-07-31,CDNS,hold,hold,confirm,0.5876167305525659,0,0.2846848712565041,0.35,0.35
2019-07-31,ADBE,hold,hold,winner,0.8991735834042254,0,0.2846848712565041,0.15,1.0
2019-07-31,SBAC,hold,hold,confirm,0.8034132182464361,0,0.2846848712565041,0.35,0.35
2019-07-31,BR,hold,watch_stale,confirm,0.12580460182229802,1,0.2846848712565041,0.35,0.35
2019-07-31,MKTX,hold,hold,confirm,0.5452389150994302,0,0.2846848712565041,0.35,0.35
2019-07-31,HEI,hold,hold,confirm,0.9891892536393881,0,0.3540609572848927,0.35,0.35
2019-07-31,NOC,hold,hold,confirm,0.8975953791886763,0,0.2846848712565041,0.78,0.1
2019-07-31,MSCI,hold,watch_stale,scout,0.07513061687548811,1,0.2846848712565041,0.35,0.35
2019-07-31,MU,enter,monster_scout,scout,1.057553636202208,0,0.2846848712565041,0.15,1.0
2019-07-31,HUM,enter,monster_scout,scout,1.0519134782780637,0,0.2846848712565041,0.35,0.35
2019-07-31,RMD,enter,monster_scout,scout,1.044914330652932,0,0.2846848712565041,0.35,0.35
2019-08-30,CDNS,hold,watch_stale,confirm,0.12815788987696092,1,0.2296455592676155,0.35,0.35
2019-08-30,ADBE,hold,hold,winner,0.44662206032619295,0,0.2296455592676155,0.15,1.0
2019-08-30,SBAC,hold,hold,confirm,0.6532552972089097,0,0.2296455592676155,0.35,0.35
2019-08-30,BR,exit,stale_leader_review_exit,confirm,,,,,
2019-08-30,MKTX,hold,hold,winner,0.6630158383683414,0,0.4487772404164801,0.35,0.35
2019-08-30,HEI,hold,hold,winner,0.9348505442556015,0,0.2296455592676155,0.35,0.35
2019-08-30,NOC,hold,hold,confirm,0.7746711261523436,0,0.2296455592676155,0.78,0.1
2019-08-30,MSCI,hold,hold,scout,0.6184527662941885,0,0.2296455592676155,0.35,0.35
2019-08-30,MU,hold,hold,confirm,1.3056544578144027,0,0.2296455592676155,0.15,1.0
2019-08-30,HUM,exit,missing_from_candidate_book,scout,,,,,
2019-08-30,RMD,hold,hold,confirm,1.0736259255030962,0,0.259334490252264,0.35,0.35
2019-08-30,KLAC,enter,monster_scout,scout,1.1978310223489481,0,0.2415076153587534,0.15,1.0
2019-08-30,TGT,enter,monster_scout,scout,1.1494249077449574,0,0.4913869983487237,0.35,0.35
2019-08-30,EW,enter,monster_scout,scout,1.1130089519316526,0,0.2296455592676155,0.35,0.35
2019-09-30,CDNS,exit,stale_leader_review_exit,confirm,,,,,
2019-09-30,ADBE,hold,watch_stale,winner,-0.1691005404122627,1,0.1942480183164893,0.15,1.0
2019-09-30,SBAC,hold,watch_stale,confirm,-0.09641482820021002,1,0.1942480183164893,0.35,0.35
