etf,theme,label,price_status,price_date,ret_1d,ret_5d,ret_21d,ret_63d,volume_z_20d,dollar_volume_20d,holdings,attention_score
DRAM,memory_semiconductors,Roundhill Memory ETF,ok,2026-05-13,0.06315792839478496,0.1203779904193738,0.5333146298413785,,0.9062967912844228,1166562368.0677414,"MU,SNDK,WDC,STX",1.49245994977642
SOXX,semiconductors_broad,iShares Semiconductor ETF,ok,2026-05-13,0.023837648066354467,0.042259323133151616,0.31664338272652093,0.4675608631469239,0.0009037113383568047,3502923733.4936523,"NVDA,AVGO,AMD,MU,INTC,QCOM,MRVL,LRCX,AMAT,KLAC,MCHP,ON,MPWR",1.2696625758980955
XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,ok,2026-05-13,0.0240653534766333,0.06077870685052589,0.45031618081127833,0.5308433987313397,-0.0012418126238771202,64656355.16662598,"AMD,INTC,MU,MRVL,ON,MCHP,LSCC,MPWR,TER,ALAB,CRUS,ONTO",1.2515014728808125
SMH,semiconductors_broad,VanEck Semiconductor ETF,ok,2026-05-14,0.0018166823663250398,0.061840447924160546,0.26600441501103744,0.4121790172273918,-2.1549035137897397,4734902710.959082,"NVDA,TSM,AVGO,ASML,AMD,MU,INTC,QCOM,LRCX,AMAT,KLAC,ARM",0.8857745664999004
ARKK,innovation_beta,ARK Innovation ETF,ok,2026-05-13,-0.0020457234955602033,-0.019225920383176165,0.04303088523200893,0.10131226226772028,-0.27188797408863385,620014025.3646469,"TSLA,COIN,ROKU,HOOD,CRSP,PATH,PLTR",-0.07993604053397224
XBI,biotech_small,SPDR Biotech ETF,ok,2026-05-13,0.006967625942406297,-0.01329159405589897,0.0009578903746183531,0.08985162006044156,-0.594248330097895,1069815844.8983765,"EXEL,INSM,CRSP,BEAM,EDIT",-0.14284518767338183
XME,metals_mining,SPDR Metals & Mining ETF,ok,2026-05-13,-0.002103577179937477,-0.006444361653706654,0.0701023256281923,-0.0026149367581385086,-0.20831103237387366,260319574.79232788,"MP,FCX,CLF,X,NUE,STLD,AA",-0.18991722784043152
ITA,aerospace_defense,iShares U.S. Aerospace & Defense ETF,ok,2026-05-13,0.0014197938022331158,0.01024979215687849,-0.041286098901170076,-0.02205455051996852,-1.417767737203402,217999093.53111267,"RTX,LMT,NOC,GD,RKLB,KTOS,HWM",-0.5538113771308559
URA,nuclear_uranium,Global X Uranium ETF,ok,2026-05-13,-0.019135181785244648,-0.08496390475199589,0.008894799760520211,-0.007447360230867672,-0.601226356808216,243324240.71659088,"CCJ,UEC,UUUU,LEU,NXE,DNN",-0.6371347280719416
NLR,nuclear_power,VanEck Uranium and Nuclear ETF,ok,2026-05-13,-0.025017870998548686,-0.08609719332338772,-0.03508776664156277,-0.0681787857181575,0.43594315344739004,68344890.85472107,"CEG,BWXT,CCJ,LEU,SMR,OKLO",-0.7625121334868801
