date,signal_date,ticker,target_weight,actual_weight,shares,price
2019-07-01,2019-06-28,HEI,0.1111317080197581,0.1108955066701133,84.0,131.76043701171875
2019-07-01,2019-06-28,TER,0.0893140583890926,0.08932608028242467,188.0,47.4210090637207
2019-07-01,2019-06-28,RGEN,0.069456621136626,0.06897481017036111,80.0,86.05000305175781
2019-07-01,2019-06-28,MA,0.0641736861684877,0.06424555212444737,25.0,256.4799499511719
2019-07-01,2019-06-28,PAYC,0.0601413164272542,0.059863786895089637,27.0,221.28439331054688
2019-07-01,2019-06-28,SHOP,0.05898052859017,0.05891839377400886,193.0,30.468000411987305
2019-07-01,2019-06-28,KBR,0.0538371269403285,0.053742753997664726,233.0,23.020479202270508
2019-07-01,2019-06-28,URI,0.0398631610307202,0.03892913828790962,30.0,129.5101776123047
2019-07-01,2019-06-28,CHDN,0.0349584304273596,0.034722401460029716,61.0,56.81071853637695
2019-07-01,2019-06-28,AWI,0.0302065412402438,0.029487098795723768,32.0,91.96708679199219
2019-07-01,2019-06-28,PAGS,0.027308707789341,0.027073377929892038,74.0,36.51414108276367
2019-07-01,2019-06-28,TREX,0.0272954122132711,0.027078524631312058,76.0,35.560001373291016
2019-07-01,2019-06-28,EXP,0.0219798823235258,0.021327337254838884,25.0,85.14261627197266
2019-07-01,2019-06-28,BLD,0.0217439685520295,0.021106450602409465,26.0,81.0199966430664
2019-07-01,2019-06-28,ALLE,0.0205584735376422,0.020422175752828058,20.0,101.91130828857422
2019-07-01,2019-06-28,BRKR,0.020179302278872,0.019742163231551455,40.0,49.25894546508789
2019-07-01,2019-06-28,MELI,0.0193039431517306,0.018615683325070867,3.0,619.3099975585938
2019-07-01,2019-06-28,AAPL,0.0188811901726387,0.01883918999687542,39.0,48.211204528808594
2019-08-01,2019-07-31,TER,0.1089340692472092,0.1085749385046031,211.0,53.218746185302734
2019-08-01,2019-07-31,TREX,0.080732377607611,0.08045969021810312,214.0,38.8849983215332
2019-08-01,2019-07-31,LSCC,0.0725179953743817,0.07240549312302287,388.0,19.299999237060547
2019-08-01,2019-07-31,PAYC,0.0626263428323893,0.060538153152853956,27.0,231.89047241210938
2019-08-01,2019-07-31,RGEN,0.0577344311629476,0.058179756931019906,63.0,95.51000213623047
2019-08-01,2019-07-31,HEI,0.054976681335095,0.05562792437478103,42.0,136.98123168945312
2019-08-01,2019-07-31,PAGS,0.0518221326134834,0.051657230207218095,125.0,42.74040222167969
2019-08-01,2019-07-31,SHOP,0.047916784929532,0.04819324269017378,146.0,34.138999938964844
2019-08-01,2019-07-31,MA,0.0436352113071944,0.045930647689668244,18.0,263.90496826171875
2019-08-01,2019-07-31,MELI,0.0404626017117668,0.03634294950361908,6.0,626.4500122070312
2019-08-01,2019-07-31,V,0.0310400353414406,0.02967288928699512,18.0,170.49232482910156
2019-08-01,2019-07-31,KBR,0.0291441973524402,0.029181950619932985,131.0,23.038835525512695
2019-08-01,2019-07-31,AWI,0.0274295348277926,0.02752584230236799,32.0,88.96273803710938
2019-08-01,2019-07-31,BLD,0.0258508069510144,0.025711666587536267,31.0,85.77999877929688
2019-08-01,2019-07-31,CHDN,0.0212588321574699,0.021441259329338682,36.0,61.59781265258789
2019-08-01,2019-07-31,BRKR,0.0192771115414361,0.018952389086525995,43.0,45.58406066894531
2019-08-01,2019-07-31,AAPL,0.0182777038661433,0.01831856961549523,38.0,49.8569221496582
2019-08-01,2019-07-31,ALLE,0.0152972190878609,0.015393600062592674,17.0,93.65021514892578
2019-09-03,2019-08-30,LRCX,0.0849272345767736,0.08500302116723969,450.0,19.614545822143555
2019-09-03,2019-08-30,TREX,0.0840257577629601,0.08442186657637532,212.0,41.349998474121094
2019-09-03,2019-08-30,TER,0.0716877236116582,0.0719013794159687,147.0,50.78977584838867
2019-09-03,2019-08-30,V,0.070076585547389,0.06907115984605319,42.0,170.7669677734375
2019-09-03,2019-08-30,SHOP,0.0663206249189808,0.06617988893206513,179.0,38.39099884033203
2019-09-03,2019-08-30,MA,0.0601766793367347,0.05972325661391303,23.0,269.63238525390625
2019-09-03,2019-08-30,LSCC,0.051390454759635,0.051600176297269915,289.0,18.540000915527344
2019-09-03,2019-08-30,HEI,0.0495173755103477,0.050224400173613494,37.0,140.951416015625
2019-09-03,2019-08-30,DG,0.0430682717305366,0.042277164806195186,31.0,141.61216735839844
2019-09-03,2019-08-30,BLD,0.0424277391835835,0.04238977193541298,49.0,89.83000183105469
2019-09-03,2019-08-30,MKTX,0.0417364147612581,0.03967328059769579,11.0,374.5086364746094
2019-09-03,2019-08-30,PAYC,0.039430158350394,0.04127729054063521,18.0,238.11956787109375
2019-09-03,2019-08-30,PAGS,0.0372800902957219,0.03750109337184372,82.0,47.488285064697266
2019-09-03,2019-08-30,RGEN,0.0340932764786882,0.03484658006898401,40.0,90.45999908447266
2019-09-03,2019-08-30,AWI,0.0249493414082419,0.025438793913005738,30.0,88.05046844482422
2019-09-03,2019-08-30,KBR,0.0200440210172573,0.020247001902297973,90.0,23.360095977783203
2019-09-03,2019-08-30,AAPL,0.0185049357403165,0.018074807843364207,38.0,49.39085006713867
2019-09-03,2019-08-30,CHDN,0.0169582731979535,0.017509603318363,31.0,58.65040588378906
2019-10-01,2019-09-30,TREX,0.1,0.09984822325481134,232.0,43.54999923706055
2019-10-01,2019-09-30,LRCX,0.0943517632261938,0.09485003881278206,450.0,21.328523635864258
2019-10-01,2019-09-30,TER,0.0798845628168704,0.08044520506937042,144.0,56.52928161621094
2019-10-01,2019-09-30,ENTG,0.0611530362443422,0.06085679069724498,135.0,45.6153564453125
2019-10-01,2019-09-30,BLD,0.0604677532711492,0.05995874443228278,64.0,94.80000305175781
2019-10-01,2019-09-30,MA,0.0573904195865558,0.059280062528647544,23.0,260.805419921875
2019-10-01,2019-09-30,RH,0.0553839171490295,0.05393440778858594,32.0,170.5500030517578
2019-10-01,2019-09-30,DG,0.052857477627415,0.051484949267304764,36.0,144.7150115966797
2019-10-01,2019-09-30,MLM,0.0486295149529695,0.04806794092896798,19.0,255.99867248535156
2019-10-01,2019-09-30,LKQ,0.0446277667621859,0.044427434322867776,166.0,27.08188819885254
2019-10-01,2019-09-30,AAPL,0.0409049643785715,0.04050236535113812,76.0,53.926544189453125
2019-10-01,2019-09-30,BLDR,0.0395942625832313,0.039572059106801,196.0,20.43000030517578
2019-10-01,2019-09-30,LAD,0.0374419202464667,0.03662771011803621,30.0,123.54475402832031
2019-10-01,2019-09-30,LSCC,0.0373088190246443,0.03751038315337009,213.0,17.81999969482422
2019-10-01,2019-09-30,MKTX,0.0351237402468585,0.032905662709809456,11.0,302.700927734375
2019-10-01,2019-09-30,PAGS,0.0320820541656911,0.03243706062558595,75.0,43.76390075683594
2019-10-01,2019-09-30,SHOP,0.0300809060581465,0.030334704766385282,98.0,31.32200050354004
2019-10-01,2019-09-30,CHDN,0.0281064839470842,0.027871729742905946,47.0,60.00699234008789
2019-11-01,2019-10-31,LRCX,0.1,0.10034412588094672,423.0,25.760120391845703
2019-11-01,2019-10-31,AAPL,0.0789783709359163,0.0786258165425501,139.0,61.42521286010742
2019-11-01,2019-10-31,CRUS,0.0755932676962368,0.07537036679843206,113.0,72.43000030517578
